C N N C N N N N N C N
29 Private HS-grad 9 Separated Machine-op-inspct Not-in-family White Male 0 0
44 Private Some-college 10 Married-civ-spouse Adm-clerical Wife White Female 0 1
19 Private Some-college 10 Never-married Adm-clerical Own-child White Female 0 0
19 Private HS-grad 9 Never-married Other-service Other-relative White Female 0 0
35 Private HS-grad 9 Married-civ-spouse Other-service Wife White Female 0 1
27 Private Bachelors 13 Never-married Craft-repair Not-in-family White Male 0 0
46 Self-emp-not-inc Assoc-acdm 12 Separated Craft-repair Not-in-family White Male 0 0
34 State-gov Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 7688 1
34 Private HS-grad 9 Never-married Other-service Not-in-family White Female 0 0
44 Private Some-college 10 Married-civ-spouse Tech-support Husband White Male 0 0
45 Private Some-college 10 Divorced Handlers-cleaners Unmarried White Female 0 0
25 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
52 Self-emp-inc Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
20 Private Some-college 10 Never-married Handlers-cleaners Own-child White Male 0 0
28 Private Some-college 10 Never-married Other-service Not-in-family White Female 0 0
50 State-gov Bachelors 13 Married-civ-spouse Protective-serv Husband White Male 0 1
34 Private Assoc-voc 11 Divorced Tech-support Not-in-family White Female 0 0
28 Private 7th-8th 4 Married-civ-spouse Handlers-cleaners Husband Other Male 0 0
41 Private Masters 14 Married-civ-spouse Exec-managerial Husband White Male 0 1
28 Private HS-grad 9 Married-civ-spouse Adm-clerical Husband White Male 0 0
46 Self-emp-not-inc HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
32 Private Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 0
41 Local-gov Some-college 10 Divorced Other-service Not-in-family Black Female 0 0
24 Private HS-grad 9 Never-married Handlers-cleaners Unmarried Black Female 0 0
33 Private Some-college 10 Divorced Exec-managerial Unmarried White Female 0 0
46 Private Doctorate 16 Married-civ-spouse Exec-managerial Husband White Male 15024 1
31 State-gov Some-college 10 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
35 Private 12th 8 Divorced Craft-repair Not-in-family White Male 0 1
52 Private 1st-4th 2 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
30 Private 11th 7 Never-married Other-service Own-child White Female 0 0
34 Local-gov 11th 7 Separated Machine-op-inspct Not-in-family Black Male 0 0
34 State-gov HS-grad 9 Divorced Transport-moving Unmarried White Female 0 0
20 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
17 Private 11th 7 Never-married Handlers-cleaners Own-child White Male 2176 0
32 State-gov Bachelors 13 Married-civ-spouse Exec-managerial Wife White Female 0 1
29 Private HS-grad 9 Divorced Farming-fishing Not-in-family White Male 0 0
33 Private 10th 6 Never-married Craft-repair Unmarried White Female 0 0
25 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 0
36 Federal-gov Masters 14 Never-married Prof-specialty Not-in-family White Male 0 0
23 Private HS-grad 9 Never-married Handlers-cleaners Not-in-family White Male 0 0
63 Self-emp-inc HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 0 1
47 Local-gov Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 0
40 Self-emp-not-inc Bachelors 13 Married-spouse-absent Prof-specialty Not-in-family White Female 2174 0
30 Private Assoc-acdm 12 Married-civ-spouse Other-service Wife White Female 0 1
27 Private Some-college 10 Never-married Craft-repair Own-child Asian-Pac-Islander Male 0 0
33 Private Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 1
34 Local-gov HS-grad 9 Never-married Farming-fishing Not-in-family Black Male 594 0
34 Local-gov Some-college 10 Never-married Protective-serv Not-in-family White Female 0 0
23 Private Some-college 10 Married-civ-spouse Adm-clerical Husband White Male 0 0
42 Local-gov Some-college 10 Married-civ-spouse Adm-clerical Wife White Female 0 0
29 Private Bachelors 13 Never-married Prof-specialty Not-in-family White Male 0 0
45 Private HS-grad 9 Divorced Adm-clerical Not-in-family White Female 0 0
24 Federal-gov HS-grad 9 Never-married Armed-Forces Own-child White Male 0 0
44 Private Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 0 1
27 Private 9th 5 Never-married Craft-repair Other-relative White Male 0 0
20 Private Some-college 10 Never-married Sales Not-in-family White Male 0 0
44 Private HS-grad 9 Widowed Exec-managerial Unmarried Black Female 0 0
51 Private HS-grad 9 Married-civ-spouse Craft-repair Husband Amer-Indian-Eskimo Male 0 0
20 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
19 Private HS-grad 9 Never-married Machine-op-inspct Own-child Black Female 0 0
45 Self-emp-inc Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 1
60 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 1
42 Private Assoc-acdm 12 Married-civ-spouse Exec-managerial Husband Black Male 0 1
44 Self-emp-not-inc HS-grad 9 Married-civ-spouse Sales Wife White Female 0 1
40 Private Assoc-voc 11 Married-civ-spouse Machine-op-inspct Husband Asian-Pac-Islander Male 0 1
30 Private HS-grad 9 Married-civ-spouse Exec-managerial Wife White Female 0 0
38 Private Some-college 10 Married-civ-spouse Transport-moving Husband Black Male 0 0
23 Private HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 0
44 Private Assoc-acdm 12 Never-married Farming-fishing Own-child White Male 0 0
54 Local-gov HS-grad 9 Married-civ-spouse Transport-moving Husband Black Male 0 0
32 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 0
50 Private 1st-4th 2 Married-spouse-absent Craft-repair Unmarried White Male 0 0
24 Private Bachelors 13 Never-married Tech-support Not-in-family White Female 0 0
37 Private HS-grad 9 Married-civ-spouse Adm-clerical Wife White Female 0 0
52 Private HS-grad 9 Divorced Transport-moving Unmarried White Male 0 0
38 Private Some-college 10 Married-civ-spouse Transport-moving Husband White Male 0 0
49 Private Masters 14 Married-civ-spouse Exec-managerial Husband White Male 0 1
30 Private Bachelors 13 Married-civ-spouse Tech-support Wife White Female 0 1
60 Private Some-college 10 Never-married Prof-specialty Unmarried White Male 0 1
35 Private HS-grad 9 Never-married Craft-repair Not-in-family White Male 0 0
30 Private HS-grad 9 Never-married Transport-moving Not-in-family White Male 0 0
67 Private Assoc-voc 11 Divorced Other-service Not-in-family White Female 0 0
46 Private Bachelors 13 Never-married Craft-repair Not-in-family White Female 0 0
17 Private 9th 5 Never-married Other-service Not-in-family White Male 0 0
22 Private Some-college 10 Never-married Handlers-cleaners Own-child White Male 0 0
27 Private 10th 6 Never-married Other-service Not-in-family White Male 0 0
23 Private HS-grad 9 Never-married Other-service Unmarried White Female 0 0
33 Private Assoc-acdm 12 Married-civ-spouse Craft-repair Husband White Male 0 0
43 Self-emp-not-inc Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 0
28 State-gov Bachelors 13 Never-married Prof-specialty Not-in-family White Male 0 0
41 Private HS-grad 9 Married-spouse-absent Craft-repair Unmarried White Female 0 0
25 Private Some-college 10 Married-spouse-absent Adm-clerical Own-child Black Female 0 0
59 Local-gov HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 0
45 Local-gov Bachelors 13 Divorced Prof-specialty Unmarried White Female 0 0
38 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 15024 1
40 Private HS-grad 9 Never-married Other-service Not-in-family White Female 0 0
46 Federal-gov HS-grad 9 Divorced Adm-clerical Not-in-family White Male 0 0
35 Private Assoc-acdm 12 Never-married Exec-managerial Not-in-family White Female 0 0
34 Private HS-grad 9 Divorced Prof-specialty Unmarried White Female 0 0
33 Private Bachelors 13 Never-married Craft-repair Own-child White Male 0 0
41 Private HS-grad 9 Divorced Adm-clerical Unmarried White Female 0 0
20 Private Some-college 10 Never-married Machine-op-inspct Own-child White Male 0 0
23 Private 5th-6th 3 Never-married Other-service Own-child White Male 0 0
26 Private Some-college 10 Never-married Prof-specialty Not-in-family White Female 0 0
23 Local-gov HS-grad 9 Never-married Farming-fishing Not-in-family White Male 0 0
62 Local-gov HS-grad 9 Married-civ-spouse Transport-moving Husband White Male 0 0
52 Private Some-college 10 Married-civ-spouse Adm-clerical Husband White Male 0 0
58 Private Some-college 10 Divorced Other-service Unmarried White Female 0 0
25 Private Bachelors 13 Never-married Sales Not-in-family White Female 0 0
24 Private Bachelors 13 Never-married Exec-managerial Not-in-family Black Male 0 0
19 Private Some-college 10 Never-married Protective-serv Own-child White Male 0 0
43 Private Some-college 10 Married-civ-spouse Exec-managerial Husband White Male 0 0
47 Local-gov HS-grad 9 Separated Adm-clerical Unmarried Black Female 0 0
39 Private HS-grad 9 Divorced Other-service Unmarried White Female 0 0
49 Private Assoc-voc 11 Married-spouse-absent Handlers-cleaners Unmarried White Male 0 0
32 Private Assoc-voc 11 Never-married Craft-repair Not-in-family White Male 0 0
34 Private Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 0 1
28 Private HS-grad 9 Divorced Craft-repair Not-in-family White Male 0 0
25 Private Some-college 10 Never-married Adm-clerical Not-in-family Amer-Indian-Eskimo Female 0 0
34 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
38 Self-emp-inc Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 15024 1
50 Private HS-grad 9 Married-civ-spouse Exec-managerial Husband White Male 7688 1
24 Local-gov Some-college 10 Divorced Handlers-cleaners Not-in-family Black Male 0 0
37 Local-gov Some-college 10 Married-civ-spouse Tech-support Husband White Male 0 1
44 Private Some-college 10 Divorced Machine-op-inspct Unmarried White Male 0 1
28 Private Some-college 10 Married-civ-spouse Sales Wife White Female 0 0
42 Private Bachelors 13 Married-civ-spouse Exec-managerial Husband White Male 0 1
74 Private Some-college 10 Divorced Adm-clerical Not-in-family White Female 0 0
38 Self-emp-not-inc HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
44 Self-emp-not-inc Masters 14 Married-civ-spouse Prof-specialty Husband White Male 0 0
44 Private 11th 7 Divorced Machine-op-inspct Unmarried Other Female 0 0
26 Private HS-grad 9 Never-married Machine-op-inspct Not-in-family White Male 0 0
36 Private HS-grad 9 Married-civ-spouse Other-service Husband Black Male 0 0
41 Private Assoc-acdm 12 Married-civ-spouse Exec-managerial Wife White Female 0 1
67 Private Prof-school 15 Married-civ-spouse Prof-specialty Husband White Male 20051 1
39 Local-gov 12th 8 Married-civ-spouse Tech-support Husband White Male 0 0
57 Private 1st-4th 2 Widowed Priv-house-serv Not-in-family Black Female 0 0
29 Private Assoc-voc 11 Separated Craft-repair Not-in-family White Male 0 0
31 Self-emp-inc Bachelors 13 Never-married Farming-fishing Not-in-family White Female 0 0
44 Private Some-college 10 Married-civ-spouse Transport-moving Husband White Male 0 0
29 Private Doctorate 16 Never-married Prof-specialty Own-child White Male 0 0
30 Private Some-college 10 Never-married Handlers-cleaners Unmarried White Female 0 0
27 Private HS-grad 9 Never-married Transport-moving Not-in-family White Male 0 0
27 Private Some-college 10 Married-civ-spouse Sales Husband White Male 0 0
32 Private HS-grad 9 Never-married Handlers-cleaners Not-in-family White Female 0 0
58 Private 10th 6 Married-civ-spouse Other-service Wife White Female 0 0
35 Local-gov Some-college 10 Married-civ-spouse Protective-serv Husband White Male 0 0
21 Private HS-grad 9 Never-married Handlers-cleaners Own-child White Male 0 0
28 Private Some-college 10 Never-married Craft-repair Unmarried White Male 0 0
46 Self-emp-not-inc Some-college 10 Divorced Exec-managerial Not-in-family White Male 0 0
36 Self-emp-not-inc HS-grad 9 Separated Other-service Unmarried White Female 0 0
72 Private 11th 7 Widowed Adm-clerical Unmarried White Female 0 0
35 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Wife Black Female 0 0
33 Federal-gov Assoc-voc 11 Divorced Craft-repair Unmarried Black Female 0 1
69 Private 11th 7 Never-married Machine-op-inspct Not-in-family White Female 0 0
35 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
31 Private HS-grad 9 Separated Adm-clerical Unmarried White Female 0 0
34 Private HS-grad 9 Married-civ-spouse Tech-support Wife White Female 0 0
30 Private 11th 7 Married-civ-spouse Other-service Husband White Male 0 0
28 Private Bachelors 13 Never-married Transport-moving Not-in-family White Male 0 0
54 Private Bachelors 13 Married-civ-spouse Sales Husband White Male 0 1
47 Private Some-college 10 Married-civ-spouse Prof-specialty Husband White Male 0 1
24 Private HS-grad 9 Never-married Handlers-cleaners Unmarried Black Female 0 0
52 Self-emp-not-inc Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 0 1
20 Private HS-grad 9 Never-married Handlers-cleaners Own-child Amer-Indian-Eskimo Male 0 0
43 Self-emp-inc Masters 14 Married-civ-spouse Exec-managerial Husband White Male 5013 0
45 Private 7th-8th 4 Separated Other-service Unmarried White Female 0 0
29 Self-emp-not-inc HS-grad 9 Separated Craft-repair Not-in-family White Male 0 0
47 Private Masters 14 Divorced Exec-managerial Unmarried White Male 0 0
24 Private HS-grad 9 Never-married Craft-repair Own-child White Male 0 0
51 Private HS-grad 9 Married-civ-spouse Prof-specialty Husband White Male 0 0
17 Private 11th 7 Never-married Sales Own-child White Male 0 0
37 Private Assoc-voc 11 Married-civ-spouse Craft-repair Husband White Male 0 1
27 Private Doctorate 16 Never-married Prof-specialty Not-in-family White Female 0 0
29 Private Bachelors 13 Married-civ-spouse Exec-managerial Wife White Male 0 1
36 Self-emp-not-inc Assoc-acdm 12 Divorced Sales Unmarried White Female 0 0
58 Local-gov Bachelors 13 Never-married Prof-specialty Not-in-family White Female 0 0
26 Self-emp-not-inc Some-college 10 Married-civ-spouse Craft-repair Husband White Male 0 0
57 Private HS-grad 9 Married-civ-spouse Sales Husband White Male 0 1
59 Private HS-grad 9 Married-civ-spouse Craft-repair Husband White Male 0 0
27 Private HS-grad 9 Married-civ-spouse Machine-op-inspct Husband White Male 0 0
31 Self-emp-not-inc Bachelors 13 Never-married Tech-support Not-in-family White Male 0 0
21 Private Some-college 10 Never-married Sales Own-child White Female 0 0
29 Private Some-college 10 Never-married Adm-clerical Not-in-family White Male 0 0
18 Private 11th 7 Never-married Other-service Own-child White Male 0 0
52 Private 10th 6 Married-civ-spouse Craft-repair Husband White Male 0 1
57 Self-emp-inc Bachelors 13 Divorced Prof-specialty Not-in-family White Male 0 0
60 Private 7th-8th 4 Never-married Transport-moving Not-in-family White Male 0 1
31 Private Bachelors 13 Married-civ-spouse Prof-specialty Husband White Male 7688 1
